CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:27:43.360,,60603,,,1756.25
2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:27:43.987,,60604,,,1756.25
2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:07.730,,60643,,,2262.56
2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:08.310,,60644,,,2262.56
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:27:59.260,,60629,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:27:59.857,,60630,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:00.437,,60631,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:01.007,,60632,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:01.613,,60633,,,2005.02
2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,2023-12-04,2023-03-28 11:28:02.180,,60634,,,2005.02
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-11-17,2023-06-22 12:25:53.293,,61272,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-11-17,2023-06-22 12:25:54.260,,61273,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-11-17,2023-06-22 12:25:59.393,,61268,,,1480.8
2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,2023-11-17,2023-06-22 12:26:00.150,,61269,,,1480.8
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-10-23,2023-04-19 10:38:04.893,,60765,,,3355.8
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-10-23,2023-04-19 10:38:05.477,,60766,,,3355.8
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-10-23,2023-04-19 10:38:06.033,,60767,,,3355.8
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,2023-10-23,2023-04-19 10:38:06.610,,60768,,,3355.8
2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,2023-10-23,2023-07-26 08:08:13.353,,61488,,,2518.55
2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,2023-10-23,2023-07-26 08:08:14.060,,61489,,,2518.55
2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,2023-10-23,2023-07-26 08:08:14.757,,61490,,,2518.55
2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,2023-10-23,2023-07-26 08:08:15.430,,61491,,,2518.55
