codigos,Tiempos,Cant_piezas,T_Fabricacion,T_Ciclo,maquina
D-16722-T2,2023-05-29 10:47:10.873,1,47.0,15.0,CN4
C-13850-1-T3-CN5,2023-07-19 18:39:10.773,6,699.0,115.0,CN5
D-15964-T2,2023-07-19 18:47:11.390,67,707.0,11.0,CN4
C-13495-1-T3-CN5,2023-07-21 18:53:50.857,6,714.0,117.0,CN5
C-10957-08-T1,2023-07-21 19:37:58.380,1,49.0,45.0,CN6
D-13526-T1,2023-07-25 16:11:23.313,35,551.0,16.0,CN4
D-17074-T2,2023-05-30 12:09:26.877,4,33.0,15.0,CN4
D-17136-T1,2023-05-30 13:11:02.057,2,62.0,15.0,CN4
D-17136-T2,2023-05-30 14:29:08.237,2,78.0,15.0,CN4
D-11507-T1,2023-05-30 14:44:24.830,2,15.0,7.0,CN4
D-11496-T1,2023-05-30 16:28:02.440,4,104.0,15.0,CN4
D-11496-T2,2023-05-30 19:53:29.950,5,205.0,15.0,CN4
D-11487-T1,2023-05-30 20:55:44.357,4,62.0,15.0,CN4
D-16638-T1,2023-05-31 13:41:49.363,15,110.0,15.0,CN4
D-16638-T2,2023-05-31 15:32:17.313,15,110.0,15.0,CN4
D-11487-T2,2023-05-31 17:52:06.677,15,140.0,15.0,CN4
D-16115-T1,2023-05-31 18:56:49.877,2,65.0,15.0,CN4
D-11487-T1,2023-05-31 11:51:43.320,11,112.0,10.0,CN4
D-16115-T2,2023-06-01 12:24:07.470,3,108.0,15.0,CN4
D-12779-T1,2023-06-01 13:07:16.017,3,43.0,15.0,CN4
D-12779-T2,2023-06-01 13:24:45.903,2,17.0,15.0,CN4
D-15980-T1,2023-06-01 14:48:58.697,1,84.0,15.0,CN4
D-15980-T2,2023-06-01 16:25:30.400,3,97.0,15.0,CN4
D-15983-T1,2023-06-01 16:56:10.073,4,31.0,15.0,CN4
D-15983-T2,2023-06-01 18:00:16.497,3,64.0,15.0,CN4
D-13249,2023-06-01 18:42:29.097,8,42.0,5.0,CN4
D-13249,2023-06-01 18:58:15.787,4,16.0,4.0,CN4
D-14218,2023-06-02 11:49:25.123,9,69.0,8.0,CN4
D-14218,2023-06-02 14:38:15.243,9,169.0,19.0,CN4
D-14309,2023-06-02 16:13:44.860,2,95.0,45.0,CN4
D-14309,2023-06-02 16:30:14.530,2,16.0,8.0,CN4
D-16284,2023-06-02 16:44:40.293,1,14.0,13.0,CN4
D-16284,2023-06-02 17:08:53.497,1,24.0,22.0,CN4
D-13249-T1,2023-06-02 18:43:29.893,10,95.0,9.0,CN4
D-13249-T2,2023-06-02 20:35:45.313,10,112.0,11.0,CN4
D-14218-T1,2023-06-02 20:57:09.547,1,21.0,19.0,CN4
D-13249,2023-06-02 10:40:11.070,7,40.0,6.0,CN4
D-14218-T1,2023-06-03 15:57:47.170,7,358.0,15.0,CN4
D-16284,2023-06-05 11:55:09.647,8,37.0,5.0,CN4
D-14218-T2,2023-06-05 18:54:28.487,9,419.0,15.0,CN4
D-14218-T1,2023-06-05 11:18:00.433,1,78.0,15.0,CN4
D-18222-T1,2023-06-06 16:19:08.410,2,54.0,26.0,CN4
D-18222-T2,2023-06-06 17:06:37.047,5,47.0,9.0,CN4
D-18220-T1,2023-06-06 18:39:41.300,3,93.0,30.0,CN4
D-18220-T2,2023-06-06 18:55:01.793,1,15.0,14.0,CN4
D-18222-T1,2023-06-06 15:25:18.450,5,325.0,64.0,CN4
D-14309-T1,2023-06-07 14:08:14.630,4,158.0,15.0,CN4
D-14309-T2,2023-06-07 17:30:50.333,4,203.0,15.0,CN4
