PEDIDO,FE_EMIT,FE_ENTREGA,X,y
56227,737304,737304,[0],[0]
56226,737305,737305,[6],[6]
56231,737306,737306,[6],[6]
56238,737318,737318,[12  0],[12]
56244,737318,737318,[12  0],[0]
56277,737322,737322,[ 6 12],[6]
56276,737322,737322,[ 6 12],[12]
56269,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56267,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56268,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56273,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56271,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56272,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56274,737345,737345,"[ 6  6  6  6  6  6  6  5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12
  6  6  6  6  4  1  1  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[6]
56282,737336,737346,"[ 5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  4  1  1
  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[5]
56287,737336,737346,"[ 5  5  5  5  5  5  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  4  1  1
  0 11 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[5]
56281,737344,737350,"[ 5  5  5  5  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  4  1  1  0 11
 11 11 11 11 11  8  5  5  6 11 11 11 11 20 20]",[5]
55962,737352,737352,"[ 8  5  5  5  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  4  1  1  0 11
 11 11 11 11 11  6  6  8  5  5  6  6  6 11 11 11 11 20 20]",[8]
56348,737344,737352,"[ 8  5  5  5  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  4  1  1  0 11
 11 11 11 11 11  6  6  8  5  5  6  6  6 11 11 11 11 20 20]",[5]
56378,737344,737353,"[ 5  5  8  8  8  6  0 11 11 11 11  6  6  6 12 12  6  6  6  6  6  6  6  6
  4  1  1  0 11 11 11 11 11 11  6  6  8  5  5  6  6  6 11 11 11 11 20 20]",[5]
