,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
0,2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60603,,,1756.25
1,2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60604,,,1756.25
2,2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60643,,,2262.56
3,2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60644,,,2262.56
4,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60629,,,2005.02
5,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60630,,,2005.02
6,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60631,,,2005.02
7,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60632,,,2005.02
8,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60633,,,2005.02
9,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738759,738513,,60634,,,2005.02
10,2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738742,738597,,61272,,,1480.8
11,2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738742,738597,,61273,,,1480.8
12,2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738742,738597,,61268,,,1480.8
13,2838H1R1RSM1014,"2800 1.1/2""H3"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738742,738597,,61269,,,1480.8
14,2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738534,,60765,,,3355.8
15,2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738534,,60766,,,3355.8
16,2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738534,,60767,,,3355.8
17,2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738534,,60768,,,3355.8
18,2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738631,,61488,,,2518.55
19,2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738631,,61489,,,2518.55
20,2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738631,,61490,,,2518.55
21,2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738631,,61491,,,2518.55
22,2836D5R2RAM1013,"2800 1.1/2""D2"" 900(RF)x300(RF) capuchon sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738718,738631,,61494,,,2518.55
23,1825X9M9HSM1310,"1800 1""x1"" NPT(M)xNPT(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61424,,,537.3
24,1825X9M9HSM1310,"1800 1""x1"" NPT(M)xNPT(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61425,,,537.3
25,1825X9M9HSM1310,"1800 1""x1"" NPT(M)xNPT(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61426,,,537.3
26,1825X9M9HSM1310,"1800 1""x1"" NPT(M)xNPT(H) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61427,,,537.3
27,2866Q2R1RSM3113,"2800 6""Q8"" 300(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61420,,,8007.66
28,2866Q2R1RSM3113,"2800 6""Q8"" 300(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61421,,,8007.66
29,2866Q2R1RSM3113,"2800 6""Q8"" 300(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61422,,,8007.66
30,2866Q2R1RSM3113,"2800 6""Q8"" 300(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61423,,,8007.66
31,3515C2Z1,"AC-350 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],738707,738622,,61428,,,815.0
32,1841X7M7HSM1310,"1800 2""x2.1/2"" BSP(M)xBSP(H) sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738705,738633,,61537,,,899.3
33,1841X7M7HSM1310,"1800 2""x2.1/2"" BSP(M)xBSP(H) sellado",1.0,[0. 0. 0. ... 0. 0. 0.],738705,738633,,61538,,,899.3
34,2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60601,,,1756.25
35,2636F2R1RAM1017,"2600 1.1/2""F2"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60602,,,1756.25
36,2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60641,,,2262.56
37,2638G1R1RAM1017,"2600 1.1/2""G3"" 150(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60642,,,2262.56
38,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60623,,,2005.02
39,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60624,,,2005.02
40,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60625,,,2005.02
41,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60626,,,2005.02
42,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60627,,,2005.02
43,2638H2R1RAM1017,"2600 1.1/2""H3"" 300(RF)x150(RF)",1.0,[1. 1. 1. ... 0. 0. 0.],738704,738513,,60628,,,2005.02
44,2851L1R1RFM1010,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738704,738632,,61516,,,3771.0
45,2851L1R1RFM1012,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],738704,738632,,61515,,,3771.0
46,1721D9H9HSM1325,"1700 3/4""x1"" NPT(H)xNPT(H) Tob 1""Std. Sellada",1.0,[0. 0. 0. ... 0. 0. 0.],738699,738626,,61470,,,457.3
