CG_PROD,FE_ENTREGA,FE_CIERRE,CANTORD,FECHA_PREVISTA_FABRICACION
2636F2R1RAM1017,2023-12-04,,1.0,
2636F2R1RAM1017,2023-12-04,,1.0,
2638G1R1RAM1017,2023-12-04,,1.0,
2638G1R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
2638H2R1RAM1017,2023-12-04,,1.0,
00230,2023-11-17,,1.0,
00230,2023-11-17,,1.0,
00230,2023-11-17,,1.0,
00230,2023-11-17,,1.0,
2838H1R1RSM1014,2023-11-17,,1.0,
2838H1R1RSM1014,2023-11-17,,1.0,
2838H1R1RSM1014,2023-11-17,,1.0,
2838H1R1RSM1014,2023-11-17,,1.0,
2651K1R1RBM1016,2023-10-23,,1.0,
2651K1R1RBM1016,2023-10-23,,1.0,
2651K1R1RBM1016,2023-10-23,,1.0,
2651K1R1RBM1016,2023-10-23,,1.0,
2836D5R2RAM1013,2023-10-23,,1.0,
2836D5R2RAM1013,2023-10-23,,1.0,
2836D5R2RAM1013,2023-10-23,,1.0,
2836D5R2RAM1013,2023-10-23,,1.0,
2836D5R2RAM1013,2023-10-23,,1.0,
00230,2023-10-23,,1.0,
00230,2023-10-23,,1.0,
00230,2023-10-23,,1.0,
00230,2023-10-23,,1.0,
2866Q2R1RSM3113,2023-10-12,,1.0,
2866Q2R1RSM3113,2023-10-12,,1.0,
2866Q2R1RSM3113,2023-10-12,,1.0,
2866Q2R1RSM3113,2023-10-12,,1.0,
3515C2Z1,2023-10-12,,1.0,
1825X9M9HSM1310,2023-10-12,,1.0,
1825X9M9HSM1310,2023-10-12,,1.0,
1825X9M9HSM1310,2023-10-12,,1.0,
1825X9M9HSM1310,2023-10-12,,1.0,
1841X7M7HSM1310,2023-10-10,,1.0,
1841X7M7HSM1310,2023-10-10,,1.0,
2636F2R1RAM1017,2023-10-09,,1.0,
2851L1R1RFM1010,2023-10-09,,1.0,
2636F2R1RAM1017,2023-10-09,,1.0,
2851L1R1RFM1012,2023-10-09,,1.0,
2638G1R1RAM1017,2023-10-09,,1.0,
2638G1R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
2638H2R1RAM1017,2023-10-09,,1.0,
1841X7M7HFM1310,2023-10-04,,1.0,
2128D5R2RAM1027,2023-10-04,,1.0,
1816X7M7HFM1310,2023-10-04,,1.0,
2138G5R2RAM1027,2023-10-04,,1.0,
1816X7M7HFM1310,2023-10-04,,1.0,
2138G5R2RAM1027,2023-10-04,,1.0,
1816X7M7HFM1310,2023-10-04,,1.0,
2138G5R2RAM1027,2023-10-04,,1.0,
1816X8M7HAM1910,2023-10-04,,1.0,
2138G5R2RAM1027,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1821X7M7HFM1310,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1821X7M7HFM1310,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1821X7M7HFM1310,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1821X7M7HFM1310,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1821X7M7HFM1310,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1827X7M7HFM1310,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1721D9H9HSM1325,2023-10-04,,1.0,
1821X9M9HSM2614,2023-09-30,,1.0,
1821X9M9HSM2614,2023-09-30,,1.0,
00230,2023-09-25,,1.0,
1825X8M7HAM1310,2023-09-25,,1.0,
00230,2023-09-25,,1.0,
2451L2R1RGM1012,2023-09-25,,1.0,
2651K1R1RBM1016,2023-09-25,,1.0,
2451L2R1RGM1012,2023-09-25,,1.0,
2651K1R1RBM1016,2023-09-25,,1.0,
2451L2R1RGM1012,2023-09-25,,1.0,
2842J1R1RFM1010,2023-09-25,,1.0,
1717D8M7HAM1325,2023-09-25,,1.0,
2842J1R1RFM1010,2023-09-25,,1.0,
3515R3Z1,2023-09-25,,1.0,
2851L1R1RFM1010,2023-09-25,,1.0,
3515R3Z1,2023-09-25,,1.0,
2851L1R1RFM1010,2023-09-25,,1.0,
2628D1R1RAM1014,2023-09-24,,1.0,
1840X8M7HFM1310,2023-09-24,,1.0,
2628D1R1RAM1014,2023-09-24,,1.0,
1840X8M7HFM1310,2023-09-24,,1.0,
1840X8M7HFM1310,2023-09-24,,1.0,
1840X8M7HFM1310,2023-09-24,,1.0,
2828D1R1RAM1010,2023-09-23,,1.0,
2828D1R1RAM1010,2023-09-23,,1.0,
1841X8M7HAM1310,2023-09-19,,1.0,
2838H1R1RSM1014,2023-09-19,,1.0,
2838H1R1RSM1014,2023-09-19,,1.0,
2838H1R1RSM1014,2023-09-19,,1.0,
2838H1R1RSM1014,2023-09-19,,1.0,
00230,2023-09-19,,1.0,
00230,2023-09-19,,1.0,
00230,2023-09-19,,1.0,
00230,2023-09-19,,1.0,
1821X8M7HFM1310,2023-09-18,,1.0,
1831X8M7HFM1310,2023-09-18,,1.0,
1831X8M7HFM1310,2023-09-18,,1.0,
2828E1R1RKM1010,2023-09-18,,1.0,
2828E1R1RKM1010,2023-09-18,,1.0,
1825X7M7HAM1310,2023-09-17,,1.0,
2828D3J1RAM1010,2023-09-17,,1.0,
1825X7M7HAM1310,2023-09-17,,1.0,
2836F2R1RAM1010,2023-09-17,,1.0,
1825X7M7HAM1310,2023-09-17,,1.0,
1825X7M7HAM1310,2023-09-17,,1.0,
1725D9M9HSM1226,2023-09-16,,1.0,
1725D9M9HSM1226,2023-09-16,,1.0,
2842H2R1RFM1010,2023-09-13,,1.0,
