CG_PROD,DES_PROD,CG_ORDF,FE_ENTREGA,PRECIO,CANT,FECHA_PREVISTA_FABRICACION,DIAS_ENTREGA,CG_CLI,RATIO_CLI
30153          ,"3000 VALV.MICROM 1/2"" 500 LTS/H.",103722,2023-08-13,349.0,1.0,2023-07-05 15:02:07.347,11,81449,1
4750C,"Junta cardanica doble 2"" CORTA",105410,2023-08-06,952.0,1.0,2023-07-24 10:50:20.397,4,4259,2
4750C,"Junta cardanica doble 2"" CORTA",105411,2023-08-06,952.0,1.0,2023-07-24 10:50:20.397,4,4259,2
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",105012,2023-08-01,931.7,1.0,2023-08-01 07:03:15.867,-1,813,8
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",105013,2023-08-01,931.7,1.0,2023-08-01 07:03:19.257,-1,813,8
1717U9M9HSM1226,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1/2"" AP sellada",102950,2023-07-28,898.0,1.0,2023-07-17 14:03:31.427,-5,81441,1
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",105017,2023-07-25,931.7,1.0,2023-07-10 07:04:30.037,-8,813,8
1821X9M9HSM2614,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",102811,2023-07-25,627.0,1.0,2023-07-14 08:44:02.460,-8,3020,2
1821X9M9HSM2614,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",102812,2023-07-25,627.0,1.0,2023-07-14 08:44:02.460,-8,3020,2
1625E1R1RSM1010,"1600 1"" x 1"" 150(RF) x 150(RF) Tob E",102606,2023-07-23,1072.0,1.0,2023-07-20 08:53:05.067,-10,5339,2
1625E1R1RSM1010,"1600 1"" x 1"" 150(RF) x 150(RF) Tob E",102607,2023-07-23,1072.0,1.0,2023-07-20 08:53:09.120,-10,5339,2
1841X8M7HAM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H).",102813,2023-07-21,1058.0,1.0,2023-07-17 14:03:26.817,-12,5982,1
1717D9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1"" Std.",102577,2023-07-19,499.0,1.0,2023-06-23 06:58:38.113,-14,5307,1
1827X7M7HAM1214,"1804 1""x1.1/2"" BSP(M)xBSP(H).",102474,2023-07-16,1337.0,1.0,2023-07-14 00:00:00.000,-17,4090,1
1816XZC7HAM1214,"1800 1/2""x3/4"" CLAMPxBSPH",102096,2023-07-16,1109.0,1.0,2023-06-21 11:27:40.537,-17,4273,1
1817X7M7HAM1310,"1804 1/2""x1"" BSP(M)xBSP(H)",102082,2023-07-12,597.0,1.0,2023-06-21 11:27:40.537,-21,824,1
1921D9M9HSM1310,"1900 3/4""x1"" NPT(M)xNPT(H) sellada",102094,2023-07-12,771.0,1.0,2023-06-23 06:58:35.953,-21,6719,1
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",102073,2023-07-11,597.0,1.0,2023-07-14 08:44:02.460,-22,741,6
1821X9M9HSM1214,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",102074,2023-07-11,1174.0,1.0,2023-07-14 08:44:02.460,-22,741,6
1821X9M9HSM1214,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",102075,2023-07-11,1174.0,1.0,2023-07-14 08:44:02.460,-22,741,6
2842J1R1RAM1010,"2800 2""J3"" 150(RF)x150(RF)",102077,2023-07-11,1997.0,1.0,2023-08-01 13:54:14.130,-22,741,6
2842J1R1RAM1010,"2800 2""J3"" 150(RF)x150(RF)",102078,2023-07-11,1997.0,1.0,2023-08-01 07:03:19.257,-22,741,6
4750           ,"Junta cardanica doble 2""",101227,2023-07-11,952.0,1.0,2023-07-24 10:50:16.537,-22,1360,3
4750           ,"Junta cardanica doble 2""",101228,2023-07-11,952.0,1.0,2023-07-24 10:50:20.397,-22,1360,3
4750           ,"Junta cardanica doble 2""",101229,2023-07-11,952.0,1.0,2023-07-24 10:50:20.397,-22,1360,3
1717U9M9HAM1325,"1700 1/2""x1"" NPT(M)xNPT(H) Tob 1/2"" AP",102071,2023-07-09,358.0,1.0,2023-06-23 06:58:38.113,-24,1352,5
2628D2R1RAM1014,"2600 1""D2"" 300(RF)x150(RF)",101498,2023-07-08,1893.0,1.0,2023-07-25 00:00:00.000,-25,3001,6
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",103961,2023-07-07,931.7,1.0,2023-07-10 07:04:30.037,-26,813,8
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",103962,2023-07-07,931.7,1.0,2023-07-10 00:00:00.000,-26,813,8
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",103963,2023-07-07,931.7,1.0,2023-07-10 07:04:30.037,-26,813,8
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",103964,2023-07-07,931.7,1.0,2023-07-10 07:04:30.037,-26,813,8
1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",103965,2023-07-07,931.7,1.0,2023-07-10 07:04:30.037,-26,813,8
2642J1R1RAM1016,"2600 2""J3"" 150(RF)x150(RF).",102083,2023-07-07,2793.01,1.0,2023-08-01 07:03:19.257,-26,4981,1
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",101414,2023-07-07,3948.0,1.0,2023-08-02 10:21:56.880,-26,6348,2
2651K1R1RBM1016,"2600 3""K4"" 150(RF)x150(RF)",101415,2023-07-07,3948.0,1.0,2023-08-02 10:01:57.237,-26,6348,2
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102064,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102065,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102066,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102067,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102068,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102069,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1836X8H7HAM1414,"1800 1.1/2""x2"" BSPT(H)xBSP(H)",102070,2023-07-03,955.84,1.0,2023-07-03 14:42:55.407,-30,4333,7
1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",102464,2023-06-30,358.0,1.0,2023-06-23 06:58:38.113,-33,1352,5
1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",102465,2023-06-30,358.0,1.0,2023-06-23 06:58:38.113,-33,1352,5
1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",102466,2023-06-30,358.0,1.0,2023-06-23 06:58:38.113,-33,1352,5
1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",102467,2023-06-30,358.0,1.0,2023-06-23 06:58:38.113,-33,1352,5
1816X8M7HAM1310,"1800 1/2""x3/4"" BSPT(M)xBSP(H)",101226,2023-06-28,124282.25,1.0,2023-06-08 07:09:49.373,-35,1399,1
9365V1R1RA,"9300 6""X6""S.150(RF) Vitón",100229,2023-06-28,19557.0,1.0,2023-06-28 12:27:47.980,-35,541,3
1821X8M7HSM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) sellada",101395,2023-06-28,597.3,1.0,2023-07-06 08:02:54.397,-35,5759,4
1821X8M7HSM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) sellada",101396,2023-06-28,597.3,1.0,2023-07-06 08:02:54.397,-35,5759,4
1827X1R7HFM1310,"1800 1""x1.1/2"" 150(RF)xBSP(H) con palanca",101397,2023-06-28,797.5,1.0,2023-06-14 06:57:47.843,-35,5759,4
1821X8M7HSM1310,"1800 3/4""x1"" BSPT(M)xBSP(H) sellada",101398,2023-06-28,597.3,1.0,2023-07-06 00:00:00.000,-35,5759,4
1515X8M7HSM2519,"1500 1/2""x1/2"" BSPT(M)xBSP(H) sellada",101117,2023-06-27,308.0,1.0,2023-06-02 06:51:31.910,-36,6385,1
2156L4J2RAM3117,"2100 4""L6"" 900(RTJ)x300(RF)",96415,2023-06-26,7477.0,1.0,2023-07-14 00:00:00.000,-37,1127,3
2156L4J2RAM3117,"2100 4""L6"" 900(RTJ)x300(RF)",96416,2023-06-26,7477.0,1.0,2023-07-14 08:44:02.460,-37,1127,3
2156L4J2RAM3117,"2100 4""L6"" 900(RTJ)x300(RF)",96417,2023-06-26,7477.0,1.0,2023-07-14 08:44:02.460,-37,1127,3
1415X7H7HAM3021,"1400 1/2""x1/2"" BSP(H)xBSP(H)",100748,2023-06-20,381.0,1.0,2023-05-03 00:00:00.000,-43,6723,1
1821X7M7HAM1310,"1800 3/4""x1"" BSP(M)xBSP(H)",102072,2023-06-18,597.0,1.0,2023-06-08 07:09:49.373,-45,81437,1
024019H9H20151,"AR-20 2"" CAB.ROSC.NPT(H)xNPT(H)",101320,2023-06-18,3929.0,1.0,2023-07-24 10:50:20.397,-45,1327,1
9250B1R1RA     ,"9200 3"" x 3"" Serie 150RF sello Buna-N",97544,2023-06-18,6234.8,1.0,2023-07-03 14:42:50.363,-45,3001,6
9355B1R1RA     ,"9300 4""X4""S.150(RF) Buna",97545,2023-06-18,12112.1,1.0,2023-07-10 10:42:47.783,-45,3001,6
9365B1R1RA     ,"9300 6""X6""S.150(RF) Buna",97546,2023-06-18,19407.4,1.0,2023-07-10 10:42:51.463,-45,3001,6
9365B1R1RA     ,"9300 6""X6""S.150(RF) Buna",97547,2023-06-18,19407.4,1.0,2023-07-10 10:42:51.463,-45,3001,6
9365B1R1RA     ,"9300 6""X6""S.150(RF) Buna",97548,2023-06-18,19407.4,1.0,2023-07-10 10:42:51.463,-45,3001,6
3640VOH1,"VA-10000 2"" BSP H-H punta de eje libre giro horario",102475,2023-06-18,9141.0,1.0,2023-06-14 06:57:45.473,-45,1048,1
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100223,2023-06-13,4050.0,1.0,2023-07-28 07:23:11.930,-50,6553,6
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100224,2023-06-13,4050.0,1.0,2023-07-28 07:23:16.100,-50,6553,6
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100225,2023-06-13,4050.0,1.0,2023-07-28 07:23:16.100,-50,6553,6
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100226,2023-06-13,4050.0,1.0,2023-07-28 07:23:16.100,-50,6553,6
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100227,2023-06-13,4050.0,1.0,2023-07-28 07:23:16.100,-50,6553,6
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100228,2023-06-13,4050.0,1.0,2023-07-28 07:23:16.100,-50,6553,6
2866Q1R1RFM1012,"2800 6""Q8"" 150(RF)x150(RF) Con Palanca",100230,2023-06-13,9125.6,1.0,2023-06-27 00:00:00.000,-50,541,3
2866Q1R1RFM1012,"2800 6""Q8"" 150(RF)x150(RF) Con Palanca",100231,2023-06-13,9125.6,1.0,2023-06-27 00:00:00.000,-50,541,3
1836X8M7HFM1310,"1800 1.1/2""x2"" BSPT(M)xBSP(H) Con Palanca",101113,2023-06-10,994.0,1.0,2023-06-05 06:46:13.553,-53,3176,1
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100233,2023-06-08,4050.2,1.0,2023-07-28 00:00:00.000,-55,6683,4
2651K1R1RAM1014,"2600 3""K4"" 150(RF)x150(RF) con fuelle",100234,2023-06-08,4050.2,1.0,2023-07-27 15:26:00.557,-55,6683,4
2828E1R1RSM1014,"2800 1""E2"" 150(RF)x150(RF) sellada",100235,2023-06-08,1333.2,1.0,2023-06-08 07:09:48.237,-55,6683,4
2828E1R1RSM1014,"2800 1""E2"" 150(RF)x150(RF) sellada",100236,2023-06-08,1333.2,1.0,2023-06-08 07:09:49.373,-55,6683,4
2851L1R1RFM1010,"2800 3""L4"" 150(RF)x150(RF) Con Palanca",100717,2023-06-08,3771.0,1.0,2023-07-26 07:07:27.483,-55,741,6
2666Q1R1RBB3117,"2600 6""Q8"" 150(RF)x150(RF)",96960,2023-06-07,10546.0,1.0,2023-06-21 11:27:40.537,-56,6103,16
2666Q1R1RBB3117,"2600 6""Q8"" 150(RF)x150(RF)",96961,2023-06-07,10546.0,1.0,2023-06-21 11:27:40.537,-56,6103,16
2851J3R2RAM1013,"2800 3""J4"" 600(RF)x300(RF) sellada",98892,2023-06-06,3973.0,1.0,2023-06-12 10:32:55.513,-57,4588,2
2851J3R2RAM1013,"2800 3""J4"" 600(RF)x300(RF) sellada",98893,2023-06-06,3973.0,1.0,2023-06-12 10:32:33.387,-57,4588,2
2836F1R1RAM1014,"2800 1.1/2""F2"" 150(RF)x150(RF)",99374,2023-06-02,1651.1,1.0,2023-06-07 07:01:08.067,-61,6103,16
2836F1R1RAM1014,"2800 1.1/2""F2"" 150(RF)x150(RF)",99375,2023-06-02,1651.1,1.0,2023-06-07 07:01:08.067,-61,6103,16
2866Q1R1RSM1014,"2800 6""Q8"" 150(RF)x150(RF) sellada",99376,2023-06-02,8986.0,1.0,2023-06-29 07:01:22.743,-61,6103,16
2866Q1R1RSM1014,"2800 6""Q8"" 150(RF)x150(RF) sellada",99377,2023-06-02,8986.0,1.0,2023-06-29 07:01:26.143,-61,6103,16
1836X9M9HAM1414,"1800 1.1/2""x2"" NPT(M)xNPT(H)",99378,2023-06-02,955.9,1.0,2023-06-08 14:14:21.773,-61,6103,16
1836X9M9HAM1414,"1800 1.1/2""x2"" NPT(M)xNPT(H)",99379,2023-06-02,955.9,1.0,2023-06-08 14:14:23.127,-61,6103,16
2866Q1R1RSM1014,"2800 6""Q8"" 150(RF)x150(RF) sellada",99369,2023-06-02,8986.0,1.0,2023-07-18 14:00:01.167,-61,6103,16
2866Q1R1RSM1014,"2800 6""Q8"" 150(RF)x150(RF) sellada",99370,2023-06-02,8986.0,1.0,2023-07-19 07:11:56.467,-61,6103,16
2836F1R1RAM1014,"2800 1.1/2""F2"" 150(RF)x150(RF)",99371,2023-06-02,1651.1,1.0,2023-06-07 07:01:06.947,-61,6103,16
2836F1R1RAM1014,"2800 1.1/2""F2"" 150(RF)x150(RF)",99372,2023-06-02,1651.1,1.0,2023-06-07 07:01:08.067,-61,6103,16
2856P1R1RSM1014,"2800 4""P6"" 150(RF)x150(RF)",100022,2023-06-02,6657.0,1.0,2023-06-14 06:57:45.213,-61,6103,16
2836F1R1RAM1014,"2800 1.1/2""F2"" 150(RF)x150(RF)",99373,2023-06-02,1651.1,1.0,2023-06-07 07:01:08.067,-61,6103,16
2871T1R1RSM1014,"2800 8""T10"" 150(RF)x150(RF)",100023,2023-06-02,12648.0,1.0,2023-07-20 08:53:09.120,-61,6103,16
2871T1R1RSM1014,"2800 8""T10"" 150(RF)x150(RF)",100024,2023-06-02,12648.0,1.0,2023-07-20 08:53:09.120,-61,6103,16
2828E3R1RAM1227,"2800 1""E2"" 600(RF)x150(RF)",100719,2023-06-02,2749.0,1.0,2023-05-29 12:19:22.390,-61,81429,1
