X,y
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[8]
"[ 8  8  8  8  8  8  8  2  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0
 10  5  5  8  2  2 10  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8
  8  7  5]",[2]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5  8  0  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8 10  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19  8  0  2  2 10  8
  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[10  8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2
  2 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[ 8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8  8  8 10 10 10 13  8  2  2 13  0 10  5  5 19 19 19  8  0  2  2  2
 10  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8 10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10
  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[ 8  8 10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10
  8  7  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[8]
"[10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10  8  7
  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[10 10 10 13  8  2  2 13  0 10 10  5  5 19 19 19  8  0  2  2  2 10  8  7
  7  0  1  0 18 10 10 10 10 13 13 13 13  1  5  8  8  1  7  5]",[10]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[10]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[13]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[10 13  8  8  8  2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2
  2  2 10  8  7  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10
  5  8  8 10 19  8  8  1  7 10  5]",[8]
"[ 2  2 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[2]
"[ 2 13 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[2]
"[ 2 13 13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2 10  8  7
  7  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5 10  5  8  8 10 19
  8  8  1  7 10  5]",[13]
"[13  0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8  8
 10  0  0 19  8  8  1  7 10  5]",[13]
